Number,English,IPA_Eng,Telugu,IPA_Telugu,Roman,PartOfSpeech,Category,English_Example,Telugu_Example
2374,social,/ˈsəʊʃ(ə)l/,సామాజిక,/ʃəm.plə/,saaamaaajaika,Adjective,Descriptor,The social is important.,ఆ సామాజిక ముఖ్యమైనది.
2375,society,/səˈsaɪəti/,సమాజం,/ʃəm.plə/,samaaajan,Noun,General,The society is important.,ఆ సమాజం ముఖ్యమైనది.
2376,socket,/ˈsɒk.ɪt/,సాకెట్,/saaket/,saaket,Noun,Objects,Insert in the socket.,సాకెట్‌లో పెట్టు.
2377,soft,/sɒft/,మృదువైన,/ʃəm.plə/,maridauwaైna,Adjective,Descriptor,The soft is important.,ఆ మృదువైన ముఖ్యమైనది.
2378,soil,/sɔɪl/,నేల,/ʃəm.plə/,naaila,Noun,Nature,The soil is important.,ఆ నేల ముఖ్యమైనది.
2379,sold,/səʊld/,అమ్మబడింది,/ʃəm.plə/,amamabadaindai,Noun,General,The sold is important.,ఆ అమ్మబడింది ముఖ్యమైనది.
2380,soldier,/ˈsəʊldʒər/,సైనికుడు,/ʃəm.plə/,saైnaikaudau,Noun,General,The soldier is important.,ఆ సైనికుడు ముఖ్యమైనది.
2381,sole,/səʊl/,ఏకైక,/ʃəm.plə/,aykaైka,Noun,Body,The sole is important.,ఆ ఏకైక ముఖ్యమైనది.
2382,solution,/səˈluː.ʃən/,పరిష్కారం,/pari.shkaa.ram/,parishkaaram,Noun,Education,Find the solution.,పరిష్కారం కనుగొను.
2383,some,/sʌm/,కొన్ని,/ko.nni/,konni,Adjective,Quantity,Some books are new.,కొన్ని పుస్తకాలు కొత్తవి.
2384,somebody,/ˈsʌmbədi/,ఎవరో,/ʃəm.plə/,ewaraoh,Noun,General,The somebody is important.,ఆ ఎవరో ముఖ్యమైనది.
2385,someone,/ˈsʌmwʌn/,ఎవరైనా,/ʃəm.plə/,ewaraైnaaa,Noun,General,The someone is important.,ఆ ఎవరైనా ముఖ్యమైనది.
2386,something,/ˈsʌmθɪŋ/,ఏదో,/ʃəm.plə/,aydaoh,Verb,Action,The something is important.,ఆ ఏదో ముఖ్యమైనది.
2387,sometimes,/ˈsʌm.taɪmz/,కొన్నిసార్లు,/kon.ni.saa.rlu/,konnisaarlu,Adverb,Frequency,Sometimes I walk.,కొన్నిసార్లు నేను నడుస్తాను.
2388,son,/sʌn/,కుమారుడు,/koː.d̪u/,kaumaaaraudau,Noun,Family,My son is clever.,నా కొడుకు తెలివైనవాడు.
2389,song,/sɒŋ/,పాట,/paa.ta/,paata,Noun,Music,Sing a song.,ఒక పాట పాడు.
2390,soon,/suːn/,త్వరలో,/tva.ra.lo/,tvaralo,Adverb,Time,Come soon.,త్వరలో రా.
2391,sore,/sɔːr/,పుండు,/ʃəm.plə/,paundau,Noun,General,The sore is important.,ఆ పుండు ముఖ్యమైనది.
2392,sort,/sɔːrt/,రకం,/ʃəm.plə/,rakan,Noun,General,The sort is important.,ఆ రకం ముఖ్యమైనది.
2393,soul,/səʊl/,ఆత్మ,/ʃəm.plə/,aatama,Noun,General,The soul is important.,ఆ ఆత్మ ముఖ్యమైనది.
2394,sound,/saʊnd/,ధ్వని,/ʃəm.plə/,dhawanai,Noun,General,The sound is important.,ఆ ధ్వని ముఖ్యమైనది.
2395,source,/sɔːrs/,మూలం,/ʃəm.plə/,mauulan,Noun,General,The source is important.,ఆ మూలం ముఖ్యమైనది.
2396,south,/saʊθ/,దక్షిణం,/ʃəm.plə/,dakashainan,Noun,General,The south is important.,ఆ దక్షిణం ముఖ్యమైనది.
2397,space,/speɪs/,స్థలం,/ʃəm.plə/,sathalan,Noun,General,The space is important.,ఆ స్థలం ముఖ్యమైనది.
2398,speak,/spiːk/,మాట్లాడు,/ma.tlaa.du/,matladu,Verb,Action,Speak slowly.,నెమ్మదిగా మాట్లాడు.
2399,speaker,/ˈspiː.kər/,స్పీకర్,/spee.kar/,speaker,Noun,Objects,Turn up the speaker.,స్పీకర్ ఆన్ చేయి.
2400,special,/ˈspɛʃ(ə)l/,ప్రత్యేక,/ʃəm.plə/,paratayaaika,Adjective,Descriptor,The special is important.,ఆ ప్రత్యేక ముఖ్యమైనది.
2401,specific,/spəˈsɪfɪk/,నిర్దిష్ట,/ʃəm.plə/,nairadaishata,Adjective,Descriptor,The specific is important.,ఆ నిర్దిష్ట ముఖ్యమైనది.
2402,speech,/spiːtʃ/,ప్రసంగం,/ʃəm.plə/,parasangan,Noun,General,The speech is important.,ఆ ప్రసంగం ముఖ్యమైనది.
2403,spell,/spel/,స్పెల్లింగ్ని చెప్పు,/spelling cheppu/,spelling cheppu,Verb,Language,Spell the word.,పదాన్ని స్పెల్ చెప్తూ.
2404,spelling,/ˈspel.ɪŋ/,స్పెల్లింగ్,/spelling/,spelling,Noun,Language,Check the spelling.,స్పెల్లింగ్ చూడండి.
2405,spend,/spɛnd/,ఖర్చు,/ʃəm.plə/,kharachau,Verb,Action,The spend is important.,ఆ ఖర్చు ముఖ్యమైనది.
2406,spit,/spɪt/,తుప్పు,/thuppu/,thuppu,Verb,Action,Don’t spit here.,ఇక్కడ తుప్పకూడదు.
2407,split,/splɪt/,విభజించు,/vi.bha.jin.chu/,vibhajinchu,Verb,Action,Split the bill.,బిల్ విభజించు.
2408,spoon,/spuːn/,చెంచా,/chen.chaa/,chenchaa,Noun,Objects,Use a spoon.,చెంచా వాడు.
2409,sport,/spɔːt/,క్రీడా,/kree.da/,kreeda,Noun,Activity,Football is a sport.,ఫుట్‌బాల్ క్రీడ.
2410,spot,/spɒt/,స్థలం,/ʃəm.plə/,sathalan,Noun,General,The spot is important.,ఆ స్థలం ముఖ్యమైనది.
2411,spread,/spred/,పరిచు,/pa.ri.chu/,parichu,Verb,Action,Spread the mat., చాప పరచు.
2412,spring,/sprɪŋ/,వసంతం,/ʃəm.plə/,wasantan,Verb,Action,The spring is important.,ఆ వసంతం ముఖ్యమైనది.
2413,squeeze,/skwiːz/,పిండించు,/pindinchu/,pindinchu,Verb,Action,Squeeze the lemon.,నిమ్మకాయ పిండించు.
2414,staff,/stɑːf/,సిబ్బంది,/ʃəm.plə/,saibabandai,Noun,General,The staff is important.,ఆ సిబ్బంది ముఖ్యమైనది.
2415,stage,/steɪdʒ/,వేదిక,/ʃəm.plə/,waaidaika,Noun,General,The stage is important.,ఆ వేదిక ముఖ్యమైనది.
2416,stand,/stænd/,నిలు,/ni.lu/,nilu,Verb,Action,Stand straight.,నేరుగా నిలువు.
2417,stand up,/stænd ʌp/,నిలబడు,/ni.la.ba.du/,nilabadu,Verb,Action,Stand up quickly., jaldi nilabadu.
2418,standard,/ˈstændərd/,ప్రమాణం,/ʃəm.plə/,paramaaanan,Noun,General,The standard is important.,ఆ ప్రమాణం ముఖ్యమైనది.
2419,star,/stɑːr/,నక్షత్రం,/nak.sha.tram/,nakshatram,Noun,Nature,Count the stars.,నక్షత్రాలను లెక్కించు.
2420,start,/stɑːt/,ప్రారంభించు,/pra.a.ram.bhin.chu/,prarambhinchu,Verb,Action,Start the game.,గేమ్ ప్రారంభించు.
2421,state,/steɪt/,రాష్ట్రం,/ʃəm.plə/,raaashataran,Verb,Action,The state is important.,ఆ రాష్ట్రం ముఖ్యమైనది.
2422,statement,/ˈsteɪt.mənt/,ప్రకటన,/pra.ka.ta.na/,prakatana,Noun,Information,Write a statement.,ప్రకటన వ్రాయండి.
2423,station,/ˈsteɪ.ʃən/,స్టేషన్,/stey.shan/,steyshan,Noun,Place,Meet at the station.,స్టేషన్‌లో కలుద్దాం.
2424,stay,/steɪ/,ఉండు,/un.du/,undu,Verb,Action,Stay at home.,ఇంటి వద్ద ఉండు.
2425,steam,/stiːm/,ఆవిరిచేయి,/aaviri cheyi/,aaviri cheyi,Verb,Action,Steam the idlis.,ఇడ్లి ఆవిరి చేయి.
2426,stem,/stɛm/,కాండం,/ʃəm.plə/,kaaandan,Noun,General,The stem is important.,ఆ కాండం ముఖ్యమైనది.
2427,step,/stɛp/,అడుగు,/ʃəm.plə/,adaugau,Noun,General,The step is important.,ఆ అడుగు ముఖ్యమైనది.
2428,still,/stɪl/,ఇంకా,/ʃəm.plə/,inkaaa,Adverb,Modifier,The still is important.,ఆ ఇంకా ముఖ్యమైనది.
2429,stir,/stɜːr/,కలియబెట్టు,/kaliyabettu/,kaliyabettu,Verb,Action,Stir the tea.,టీ కలియబెట్టు.
2430,stock,/stɒk/,స్టాక్,/ʃəm.plə/,sataaaka,Noun,General,The stock is important.,ఆ స్టాక్ ముఖ్యమైనది.
2431,stomach,/ˈstʌm.ək/,కడుపు,/ka.du.pu/,kadupu,Noun,Body,My stomach hurts.,నా కడుపు నొప్పిగా ఉంది.
2432,stop,/stɒp/,ఆపు,/aa.pu/,aapu,Verb,Action,Stop talking.,మాట్లాడటం ఆపు.
2433,store,/stɔːr/,స్టోరు,/sto.ru/,storu,Noun,Place,Visit the store.,స్టోరుకి వెళ్ళు.
2434,story,/ˈstɔː.ri/,కథ,/ka.tha/,katha,Noun,Literature,Tell a story.,కథ చెప్పు.
2435,strategy,/ˈstrætədʒi/,వ్యూహం,/ʃəm.plə/,wayauuhan,Noun,General,The strategy is important.,ఆ వ్యూహం ముఖ్యమైనది.
2436,street,/striːt/,వీధి,/vee.dhi/,veedhi,Noun,Place,The street is clean.,వీధి శుభ్రంగా ఉంది.
2437,strength,/strɛŋθ/,బలం,/ʃəm.plə/,balan,Noun,General,The strength is important.,ఆ బలం ముఖ్యమైనది.
2438,strong,/strɒŋ/,బలమైన,/ba.la.mai.na/,balamaina,Adjective,Quality,Strong man helps others.,బలమైన మనిషి సహాయపడతాడు.
2439,structure,/ˈstrʌktʃər/,నిర్మాణం,/ʃəm.plə/,nairamaaanan,Noun,General,The structure is important.,ఆ నిర్మాణం ముఖ్యమైనది.
2440,struggle,/ˈstrʌɡ(ə)l/,పోరాటం,/ʃəm.plə/,paohraaatan,Noun,General,The struggle is important.,ఆ పోరాటం ముఖ్యమైనది.
2441,stub,/stʌb/,మొద్దు,/ʃəm.plə/,maodadau,Noun,General,The stub is important.,ఆ మొద్దు ముఖ్యమైనది.
2442,student,/ˈstjuː.dənt/,విద్యార్థి,/vidhyaarthi/,vidyarthi,Noun,Profession,The student studies well.,విద్యార్థి బాగా చదువుకుంటాడు.
2443,study,/ˈstʌd.i/,ఒక అధ్యయనం చేయు,/oka adhyayanam che.yu/,adhyayanam cheyu,Verb,Action,Study well.,బాగా చదువు.
2444,stuff,/stʌf/,సామగ్రి,/ʃəm.plə/,saaamagarai,Noun,General,The stuff is important.,ఆ సామగ్రి ముఖ్యమైనది.
2445,style,/staɪl/,శైలి,/ʃəm.plə/,shaైlai,Noun,General,The style is important.,ఆ శైలి ముఖ్యమైనది.
2446,subject,/ˈsʌb.dʒɪkt/,విషయం,/vi.sha.yam/,vishayam,Noun,Education,Math is my favourite subject.,గణితం నా ఇష్టమైన విషయం.
2447,success,/səkˈses/,విజయం,/vi.ja.yam/,vijayam,Noun,Feeling,Success is sweet.,విజయం తియ్యగా ఉంటుంది.
2448,successful,/səkˈsɛsf(ə)l/,విజయవంతమైన,/ʃəm.plə/,waijayawantamaైna,Adjective,Descriptor,The successful is important.,ఆ విజయవంతమైన ముఖ్యమైనది.
2449,such,/sʌtʃ/,అటువంటి,/ʃəm.plə/,atauwantai,Noun,General,The such is important.,ఆ అటువంటి ముఖ్యమైనది.
2450,suck,/sʌk/,పిల్చు,/pilchu/,pilchu,Verb,Action,Suck the juice.,రసం పిల్చు.
2451,suddenly,/ˈsʌd(ə)nli/,అకస్మాత్తుగా,/ʃəm.plə/,akasamaaatataugaaa,Adverb,Modifier,The suddenly is important.,ఆ అకస్మాత్తుగా ముఖ్యమైనది.
2452,suffer,/ˈsʌfər/,బాధపడు,/ʃəm.plə/,baaadhapadau,Verb,Action,The suffer is important.,ఆ బాధపడు ముఖ్యమైనది.
2453,sugar,/ˈʃuːɡər/,చక్కెర,/chak.ke.ra/,chakkera,Noun,Food,Sugar is sweet.,చక్కెర తీయగా ఉంటుంది.
2454,suggest,/səˈdʒɛst/,సూచించు,/ʃəm.plə/,sauuchainchau,Verb,Action,The suggest is important.,ఆ సూచించు ముఖ్యమైనది.
2455,suggestion,/səˈdʒes.tʃən/,సూచన,/soo.cha.na/,soochana,Noun,Advice,Give a suggestion.,సూచన ఇవ్వు.
2456,suit,/suːt/,సూట్,/ʃəm.plə/,sauuta,Noun,General,The suit is important.,ఆ సూట్ ముఖ్యమైనది.
2457,sum,/sʌm/,మొత్తం,/ʃəm.plə/,maotatan,Noun,General,The sum is important.,ఆ మొత్తం ముఖ్యమైనది.
2458,summary,/ˈsʌm.ər.i/,సారాంశం,/saa.raam.sham/,saaramsham,Noun,Language,Give a summary.,సారాంశం ఇవ్వు.
2459,summer,/ˈsʌmər/,వేసవి,/ʃəm.plə/,waaisawai,Noun,General,The summer is important.,ఆ వేసవి ముఖ్యమైనది.
2460,sun,/sʌn/,సూర్యుడు,/soor.yu.du/,sooryudu,Noun,Nature,The sun is bright.,సూర్యుడు ప్రకాశవంతంగా ఉంటుంది.
2461,support,/səˈpɔːrt/,మద్దతు,/ʃəm.plə/,madadatau,Verb,Action,The support is important.,ఆ మద్దతు ముఖ్యమైనది.
2462,sure,/ʃʊər/,ఖచ్చితంగా,/ʃəm.plə/,khachachaitangaaa,Noun,General,The sure is important.,ఆ ఖచ్చితంగా ముఖ్యమైనది.
2463,surface,/ˈsɜːrfɪs/,ఉపరితలం,/ʃəm.plə/,uparaitalan,Noun,General,The surface is important.,ఆ ఉపరితలం ముఖ్యమైనది.
2464,swallow,/ˈswɒl.oʊ/,మింగు,/mingu/,mingu,Verb,Action,Swallow the medicine.,ఔషధాన్ని మింగు.
2465,swap,/swɒp/,మార్చు,/ʃəm.plə/,maaarachau,Noun,General,The swap is important.,ఆ మార్చు ముఖ్యమైనది.
2466,swim,/swɪm/,ఈదు,/ee.du/,eedu,Verb,Action,Learn to swim.,ఈదడాన్ని నేర్చుకో.
2467,switch,/swɪtʃ/,స్విచ్,/switch/,switch,Noun,Objects,Press the switch.,స్విచ్ నొక్కు.
2468,system,/ˈsɪstəm/,వ్యవస్థ,/ʃəm.plə/,wayawasatha,Noun,General,The system is important.,ఆ వ్యవస్థ ముఖ్యమైనది.
2469,table,/ˈteɪ.bəl/,బల్ల,/bal.la/,balla,Noun,Furniture,Keep it on the table.,దాన్ని బల్ల మీద పెట్టు.
2470,tail,/teɪl/,తోక,/ʃəm.plə/,taohka,Noun,General,The tail is important.,ఆ తోక ముఖ్యమైనది.
2471,take,/teɪk/,తీసుకో,/tee.su.ko/,teesuko,Verb,Action,Take your seat.,నీ సీటు తీసుకో.
2472,tale,/teɪl/,కథ,/ʃəm.plə/,katha,Noun,General,The tale is important.,ఆ కథ ముఖ్యమైనది.
2473,talent,/ˈtælənt/,ప్రతిభ,/ʃəm.plə/,parataibha,Noun,General,The talent is important.,ఆ ప్రతిభ ముఖ్యమైనది.
2474,talk,/tɔːk/,మాట్లాడు,/maa.tlaa.du/,maatlaadu,Verb,Action,Talk slowly.,నెమ్మదిగా మాట్లాడు.
2475,tall,/tɔːl/,పొడవైన,/ʃəm.plə/,paodawaైna,Adjective,Descriptor,The tall is important.,ఆ పొడవైన ముఖ్యమైనది.
2476,tank,/tæŋk/,ట్యాంక్,/ʃəm.plə/,tayaaanka,Noun,General,The tank is important.,ఆ ట్యాంక్ ముఖ్యమైనది.
2477,tap,/tæp/,తడిమి తాకు,/tadimi taakandi/,tadimi taakandi,Verb,Action,Tap the phone.,ఫోన్ తడిమి తాకండి.
2478,target,/ˈtɑːrɡɪt/,లక్ష్యం,/ʃəm.plə/,lakashayan,Noun,General,The target is important.,ఆ లక్ష్యం ముఖ్యమైనది.
2479,task,/tɑːsk/,పంచงานం,/pan.cha.naa.nam/,panchaanam,Noun,Education,Do the task.,పని పూర్తి చేయి.
2480,taste,/teɪst/,రుచి చూడు,/ruchi choodu/,ruchi choodu,Verb,Action,Taste the curry.,కూర రుచి చూడు.
2481,tax,/tæks/,పన్ను,/ʃəm.plə/,pananau,Noun,General,The tax is important.,ఆ పన్ను ముఖ్యమైనది.
2482,taxi,/ˈtæk.si/,టాక్సీ,/taa.ksee/,taaksi,Noun,Transport,Call a taxi.,టాక్సీ పిలువండి.
2483,tea,/tiː/,టీ,/tee/,tee,Noun,Food,Do you drink tea?,మీరు టీ తాగుతారా?
2484,teach,/tiːtʃ/,బోధించు,/bo.dhin.chu/,bodhinchu,Verb,Action,Teach English.,ఇంగ్లీష్ బోధించు.
2485,teacher,/ˈtiː.tʃər/,ఉపాధ్యాయుడు,/upaadhyaa.yu.du/,upadhyayudu,Noun,Profession,My teacher is kind.,నా ఉపాధ్యాయుడు దయామయుడు.
2486,team,/tiːm/,కొద్ది మంది జట్టు,/ko.ddi man.di ja.t.tu/,koddi mandi jattu,Noun,People,Our team is strong.,మన జట్టు బలంగా ఉంది.
2487,tear,/tɪər/,కన్నీటి,/ʃəm.plə/,kananaeetai,Noun,General,The tear is important.,ఆ కన్నీటి ముఖ్యమైనది.
2488,technique,/tɛkˈniːk/,సాంకేతికత,/ʃəm.plə/,saaankaaitaikata,Noun,General,The technique is important.,ఆ సాంకేతికత ముఖ్యమైనది.
2489,technology,/tɛkˈnɒlədʒi/,సాంకేతికత,/ʃəm.plə/,saaankaaitaikata,Noun,General,The technology is important.,ఆ సాంకేతికత ముఖ్యమైనది.
2490,television,/ˈtel.ɪ.vɪʒ.ən/,టెలివిజన్,/te.li.vi.jan/,telivijan,Noun,Objects,Switch on the television.,టెలివిజన్ వాడు.
2491,tell,/tel/,చెప్తూ నారు,/chep.tu naa.ru/,cheptunaaru,Verb,Communication,Tell your friend.,నీ స్నేహితుడికి చెప్పు.
2492,temple,/ˈtem.pəl/,గుడి,/gu.di/,gudi,Noun,Place,We went to the temple.,మనము గుడికి వెళ్ళాము.
2493,ten,/ten/,పది,/pa.di/,padi,Number,Counting,Ten kids are outside.,పది పిల్లలు బయట ఉన్నారు.
2494,tend,/tɛnd/,ఒంపు,/ʃəm.plə/,onpau,Noun,General,The tend is important.,ఆ ఒంపు ముఖ్యమైనది.
2495,term,/tɜːrm/,పదం,/ʃəm.plə/,padan,Noun,General,The term is important.,ఆ పదం ముఖ్యమైనది.
2496,test,/test/,పరీక్ష,/pari.ksha/,pariksha,Noun,Education,Take the test.,పరీక్ష రాయు.
2497,text,/tɛkst/,వచనం,/ʃəm.plə/,wachanan,Noun,General,The text is important.,ఆ వచనం ముఖ్యమైనది.
2498,than,/ðæn/,కంటే,/ʃəm.plə/,kantaai,Noun,General,The than is important.,ఆ కంటే ముఖ్యమైనది.
2499,thank,/θæŋk/,ధన్యవాదాలు,/ʃəm.plə/,dhanayawaaadaaalau,Noun,General,The thank is important.,ఆ ధన్యవాదాలు ముఖ్యమైనది.
2500,that,/ðæt/,ఆది,/aa.di/,aadi,Pronoun,Objects,That is my house.,ఆది నా ఇల్లు.
2501,the,/ðə/,ది,/ʃəm.plə/,dai,Noun,General,The the is important.,ఆ ది ముఖ్యమైనది.
2502,their,/ðɛər/,వారి,/ʃəm.plə/,waaarai,Noun,General,The their is important.,ఆ వారి ముఖ్యమైనది.
2503,them,/ðɛm/,వారిని,/ʃəm.plə/,waaarainai,Noun,General,The them is important.,ఆ వారిని ముఖ్యమైనది.
2504,themselves,/ðəmˈsɛlvz/,వారికి వారే,/ʃəm.plə/,waaaraikai waaaraai,Noun,General,The themselves is important.,ఆ వారికి వారే ముఖ్యమైనది.
2505,then,/ðen/,అప్పుడు,/appu.du/,appudu,Adverb,Time,Then call me.,అప్పుడు నన్ను కాల్ చేయు.
2506,theory,/ˈθɪəri/,సిద్ధాంతం,/ʃəm.plə/,saidadhaaantan,Noun,General,The theory is important.,ఆ సిద్ధాంతం ముఖ్యమైనది.
2507,there,/ðeə(r)/,అక్కడ,/ak.ka.da/,akkada,Adverb,Place,Go there.,అక్కడికి వెళ్ళు.
2508,these,/ðiːz/,ఇవి,/i.vi/,ivi,Pronoun,Objects,These are apples.,ఇవి ఆపిల్స్.
2509,they,/ðeɪ/,వారు,/vaa.ru/,vaaru,Pronoun,People,They are coming.,వారు వస్తున్నారు.
2510,thin,/θɪn/,పలచని,/ʃəm.plə/,palachanai,Adjective,Descriptor,The thin is important.,ఆ పలచని ముఖ్యమైనది.
2511,thing,/θɪŋ/,వస్తువు,/ʃəm.plə/,wasatauwau,Verb,Action,The thing is important.,ఆ వస్తువు ముఖ్యమైనది.
2512,think,/θɪŋk/,ఆలోచించు,/aa.loo.chin.chu/,alochinchhu,Verb,Feeling,Think before you speak.,మాట్లాడే ముందు ఆలోచించు.
2513,third,/θɜːrd/,మూడవ,/ʃəm.plə/,mauudawa,Noun,General,The third is important.,ఆ మూడవ ముఖ్యమైనది.
2514,this,/ðɪs/,ఇది,/i.di/,idi,Pronoun,Objects,This is my book.,ఇది నా పుస్తకం.
2515,those,/ðəʊz/,అవి,/a.vi/,avi,Pronoun,Objects,Those are trees.,అవి చెట్లు.
2516,though,/ðəʊ/,అయినప్పటికీ,/ʃəm.plə/,ayainapapataikaee,Noun,General,The though is important.,ఆ అయినప్పటికీ ముఖ్యమైనది.
2517,thought,/θɔːt/,ఆలోచన,/aa.loo.cha.na/,alochana,Noun,Mind,Express your thought.,నీ ఆలోచన తెలియజెయ్యి.
2518,thousand,/ˈθaʊ.zənd/,వెయ్యి,/vej.ji/,veyyi,Number,Counting,One thousand people.,వెయ్యి మంది.
2519,threat,/θrɛt/,బెదిరింపు,/ʃəm.plə/,baedairainpau,Noun,General,The threat is important.,ఆ బెదిరింపు ముఖ్యమైనది.
2520,three,/θriː/,మూడు,/muː.du/,moodu,Number,Counting,Three students came.,మూడు విద్యార్థులు వచ్చారు.
2521,threshold,/ˈθrɛʃhəʊld/,గడప,/ʃəm.plə/,gadapa,Noun,General,The threshold is important.,ఆ గడప ముఖ్యమైనది.
2522,through,/θruː/,ద్వారా/లోపలుగా,/dwaa.ra/lopalugu/,dwaara/lopaluga,Preposition,Place,Walk through the gate.,గేటు ద్వారా నడుచు.
2523,throughout,/θruːˈaʊt/,అంతటా,/ʃəm.plə/,antataaa,Noun,General,The throughout is important.,ఆ అంతటా ముఖ్యమైనది.
2524,throw,/θroʊ/,ఎగిరేయి,/e.gi.re.yi/,egireyi,Verb,Action,Throw the ball.,బంతిని ఎగిరేయి.
2525,thus,/ðʌs/,అందువలన,/ʃəm.plə/,andauwalana,Noun,General,The thus is important.,ఆ అందువలన ముఖ్యమైనది.
2526,tick,/tɪk/,టిక్కు పెట్టు,/tik.ku pe.t.tu/,tikku pettu,Verb,Action,Tick the right box.,సరైన పెట్టెకు టిక్కు పెట్టు.
2527,ticket,/ˈtɪk.ɪt/,టిక్కెట్టు,/tik.ke.tu/,ticket,Noun,Travel,Buy a ticket.,టిక్కెట్టు కొనండి.
2528,tide,/taɪd/,పోటు,/ʃəm.plə/,paohtau,Noun,General,The tide is important.,ఆ పోటు ముఖ్యమైనది.
2529,tie,/taɪ/,కట్టు,/ka.tu/,kattu,Verb,Action,Tie your shoe., షూ కట్టు.
2530,tied,/taɪd/,కట్టబడింది,/ʃəm.plə/,katatabadaindai,Verb,Action,The tied is important.,ఆ కట్టబడింది ముఖ్యమైనది.
2531,tier,/tɪər/,శ్రేణి,/ʃəm.plə/,sharaainai,Noun,General,The tier is important.,ఆ శ్రేణి ముఖ్యమైనది.
2532,tile,/taɪl/,పలక,/ʃəm.plə/,palaka,Noun,General,The tile is important.,ఆ పలక ముఖ్యమైనది.
2533,till,/tɪl/,వరకు,/ʃəm.plə/,warakau,Noun,General,The till is important.,ఆ వరకు ముఖ్యమైనది.
2534,tilt,/tɪlt/,వంపు,/ʃəm.plə/,wanpau,Noun,General,The tilt is important.,ఆ వంపు ముఖ్యమైనది.
2535,time,/taɪm/,సమయం,/sa.ma.yam/,samayam,Noun,Time,What is the time?,సమయం ఎంత?
2536,tiny,/ˈtaɪni/,చిన్న,/ʃəm.plə/,chainana,Noun,General,The tiny is important.,ఆ చిన్న ముఖ్యమైనది.
2537,tire,/ˈtaɪər/,టైర్,/ʃəm.plə/,taైra,Noun,Transport,The tire is important.,ఆ టైర్ ముఖ్యమైనది.
2538,to,/tu/,కు,/ʃəm.plə/,kau,Noun,General,The to is important.,ఆ కు ముఖ్యమైనది.
2539,toad,/təʊd/,కప్ప,/ʃəm.plə/,kapapa,Noun,General,The toad is important.,ఆ కప్ప ముఖ్యమైనది.
2540,today,/təˈdeɪ/,ఈరోజు,/ee.ro.ju/,eeroju,Noun,Time,Today is Monday.,ఈరోజు సోమవారం.
2541,together,/təˈɡɛðər/,కలిసి,/ʃəm.plə/,kalaisai,Noun,General,The together is important.,ఆ కలిసి ముఖ్యమైనది.
2542,tomorrow,/təˈmɒr.əʊ/,రేపు,/re.pu/,repu,Noun,Time,Tomorrow is Tuesday.,రేపు మంగళవారం.
2543,tone,/təʊn/,స్వరం,/ʃəm.plə/,sawaran,Noun,General,The tone is important.,ఆ స్వరం ముఖ్యమైనది.
2544,tongue,/tʌŋ/,నాలుక,/naa.lu.ka/,naaluka,Noun,Body,Show your tongue.,నాలుక చూపు.
2545,tonight,/təˈnaɪt/,ఈ రాత్రి,/ʃəm.plə/,ee raaatarai,Noun,General,The tonight is important.,ఆ ఈ రాత్రి ముఖ్యమైనది.
2546,too,/tuː/,కూడా,/ʃəm.plə/,kauudaaa,Adverb,Modifier,The too is important.,ఆ కూడా ముఖ్యమైనది.
2547,took,/tʊk/,తీసుకుంది,/ʃəm.plə/,taeesaukaundai,Noun,General,The took is important.,ఆ తీసుకుంది ముఖ్యమైనది.
2548,tool,/tuːl/,సాధనం,/ʃəm.plə/,saaadhanan,Noun,General,The tool is important.,ఆ సాధనం ముఖ్యమైనది.
2549,tooth,/tuːθ/,పంటి,/pan.ti/,panti,Noun,Body,Brush your teeth.,పళ్ళు తోముకో.
2550,top,/tɒp/,పైభాగం,/pai.bhaa.gam/,paibhaagam,Noun,Place,Put it on top.,పైభాగంలో పెట్టు.
2551,topic,/ˈtɒp.ɪk/,విషయము,/vi.shayamu/,vishayamu,Noun,Education,Select the topic.,విషయాన్ని ఎంచుకో.
2552,torn,/tɔːrn/,చిరిగిపోయిన,/ʃəm.plə/,chairaigaipaohyaina,Noun,General,The torn is important.,ఆ చిరిగిపోయిన ముఖ్యమైనది.
2553,total,/ˈtəʊt(ə)l/,మొత్తం,/ʃəm.plə/,maotatan,Adjective,Descriptor,The total is important.,ఆ మొత్తం ముఖ్యమైనది.
2554,touch,/tʌtʃ/,తాకు,/taaku/,taaku,Verb,Action,Touch the screen.,స్క్రీన్ తాకండి.
2555,tough,/tʌf/,కఠినమైన,/ʃəm.plə/,kathainamaైna,Noun,General,The tough is important.,ఆ కఠినమైన ముఖ్యమైనది.
2556,tour,/tʊər/,పర్యటన,/ʃəm.plə/,parayatana,Noun,General,The tour is important.,ఆ పర్యటన ముఖ్యమైనది.
2557,toward,/təˈwɔːrd/,వైపు,/ʃəm.plə/,waైpau,Noun,General,The toward is important.,ఆ వైపు ముఖ్యమైనది.
2558,town,/taʊn/,పట్టణం,/ʃəm.plə/,patatanan,Noun,General,The town is important.,ఆ పట్టణం ముఖ్యమైనది.
2559,toy,/tɔɪ/,బొమ్మ,/ʃəm.plə/,baomama,Noun,General,The toy is important.,ఆ బొమ్మ ముఖ్యమైనది.
2560,trade,/treɪd/,వ్యాపారం,/ʃəm.plə/,wayaaapaaaran,Noun,General,The trade is important.,ఆ వ్యాపారం ముఖ్యమైనది.
